RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
1,"Total, all countries or areas",2020,Population density,60.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",60.1
2,Africa,2020,Population density,46.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",46.0
15,Northern Africa,2020,Population density,32.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",32.7
202,Sub-Saharan Africa,2020,Population density,50.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",50.7
14,Eastern Africa,2020,Population density,67.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",67.5
17,Middle Africa,2020,Population density,28.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",28.4
18,Southern Africa,2020,Population density,25.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",25.3
11,Western Africa,2020,Population density,67.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",67.3
19,Americas,2020,Population density,26.4,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",26.4
21,Northern America,2020,Population density,20.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",20.0
419,Latin America & the Caribbean,2020,Population density,32.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",32.2
29,Caribbean,2020,Population density,198.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",198.5
13,Central America,2020,Population density,71.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",71.6
5,South America,2020,Population density,24.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",24.5
142,Asia,2020,Population density,148.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",148.7
30,Eastern Asia,2020,Population density,141.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",141.1
62,South-central Asia,2020,Population density,197.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",197.9
35,South-eastern Asia,2020,Population density,150.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",150.6
145,Western Asia,2020,Population density,59.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",59.8
150,Europe,2020,Population density,33.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",33.8
151,Eastern Europe,2020,Population density,16.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",16.2
154,Northern Europe,2020,Population density,64.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",64.6
39,Southern Europe,2020,Population density,117.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",117.0
155,Western Europe,2020,Population density,179.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",179.1
9,Oceania,2020,Population density,5.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",5.2
53,Australia and New Zealand,2020,Population density,3.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",3.9
54,Melanesia,2020,Population density,22.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",22.5
57,Micronesia,2020,Population density,172.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",172.2
61,Polynesia,2020,Population density,88.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",88.5
4,Afghanistan,2020,Population density,60.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",60.0
8,Albania,2020,Population density,104.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",104.6
12,Algeria,2020,Population density,18.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",18.2
16,American Samoa,2020,Population density,230.9,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",230.9
20,Andorra,2020,Population density,165.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",165.3
24,Angola,2020,Population density,26.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",26.8
660,Anguilla,2020,Population density,177.1,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",177.1
28,Antigua and Barbuda,2020,Population density,210.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",210.6
32,Argentina,2020,Population density,16.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",16.1
51,Armenia,2020,Population density,98.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",98.6
533,Aruba,2020,Population density,592.1,"For statistical purposes, the data for Netherlands do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",592.1
36,Australia,2020,Population density,3.3,"Including Christmas Island, Cocos (Keeling) Islands and Norfolk Island.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",3.3
40,Austria,2020,Population density,107.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",107.9
31,Azerbaijan,2020,Population density,124.4,Including Nagorno-Karabakh.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",124.4
44,Bahamas,2020,Population density,75.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",75.9
48,Bahrain,2020,Population density,"1,886.9",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1886.9
50,Bangladesh,2020,Population density,"1,286.2",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1286.2
52,Barbados,2020,Population density,652.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",652.8
112,Belarus,2020,Population density,47.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",47.5
56,Belgium,2020,Population density,381.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",381.9
84,Belize,2020,Population density,17.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",17.3
204,Benin,2020,Population density,112.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",112.1
60,Bermuda,2020,Population density,"1,185.8","For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1185.8
64,Bhutan,2020,Population density,20.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",20.1
68,Bolivia (Plurin. State of),2020,Population density,11.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",11.0
70,Bosnia and Herzegovina,2020,Population density,64.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",64.8
72,Botswana,2020,Population density,4.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",4.5
76,Brazil,2020,Population density,25.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",25.5
92,British Virgin Islands,2020,Population density,200.7,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",200.7
96,Brunei Darussalam,2020,Population density,76.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",76.6
100,Bulgaria,2020,Population density,64.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",64.4
854,Burkina Faso,2020,Population density,78.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",78.7
108,Burundi,2020,Population density,470.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",470.9
132,Cabo Verde,2020,Population density,144.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",144.6
116,Cambodia,2020,Population density,90.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",90.6
120,Cameroon,2020,Population density,56.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",56.8
124,Canada,2020,Population density,4.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",4.2
136,Cayman Islands,2020,Population density,279.3,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",279.3
140,Central African Republic,2020,Population density,8.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",8.6
148,Chad,2020,Population density,13.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",13.2
152,Chile,2020,Population density,25.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",25.6
156,China,2020,Population density,148.4,"For statistical purposes, the data for China do not include those for the Hong Kong Special Administrative Region (Hong Kong SAR), Macao Special Administrative Region (Macao SAR) and Taiwan Province of China.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",148.4
344,"China, Hong Kong SAR",2020,Population density,"6,825.3",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",6825.3
446,"China, Macao SAR",2020,Population density,"21,133.8",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",21133.8
170,Colombia,2020,Population density,45.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",45.3
174,Comoros,2020,Population density,433.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",433.2
178,Congo,2020,Population density,16.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",16.7
184,Cook Islands,2020,Population density,71.0,"For statistical purposes, the data for New Zealand do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",71.0
188,Costa Rica,2020,Population density,100.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",100.3
384,Côte d’Ivoire,2020,Population density,84.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",84.3
191,Croatia,2020,Population density,73.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",73.3
192,Cuba,2020,Population density,105.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",105.9
531,Curaçao,2020,Population density,446.4,"For statistical purposes, the data for Netherlands do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",446.4
196,Cyprus,2020,Population density,133.9,Refers to the whole country.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",133.9
203,Czechia,2020,Population density,136.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",136.4
408,Dem. People's Rep. Korea,2020,Population density,214.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",214.8
180,Dem. Rep. of the Congo,2020,Population density,41.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",41.0
208,Denmark,2020,Population density,137.4,"For statistical purposes, the data for Denmark do not include Faroe Islands, and Greenland.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",137.4
262,Djibouti,2020,Population density,47.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",47.0
212,Dominica,2020,Population density,96.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",96.0
214,Dominican Republic,2020,Population density,227.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",227.7
218,Ecuador,2020,Population density,70.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",70.8
818,Egypt,2020,Population density,108.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",108.0
222,El Salvador,2020,Population density,303.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",303.7
226,Equatorial Guinea,2020,Population density,56.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",56.9
232,Eritrea,2020,Population density,29.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",29.4
233,Estonia,2020,Population density,30.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",30.6
748,Eswatini,2020,Population density,68.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",68.0
231,Ethiopia,2020,Population density,117.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",117.2
238,Falkland Islands (Malvinas),2020,Population density,0.3,"A dispute exists between the Governments of Argentina and the United Kingdom of Great Britain and Northern Ireland concerning sovereignty over the Falkland Islands (Malvinas). For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.3
234,Faroe Islands,2020,Population density,37.8,"For statistical purposes, the data for Denmark do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",37.8
242,Fiji,2020,Population density,50.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",50.4
246,Finland,2020,Population density,18.3,Including Åland Islands.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",18.3
250,France,2020,Population density,116.9,"For statistical purposes, the data for France do not include French Guiana, French Polynesia, Guadeloupe, Martinique, Mayotte, New Caledonia, Réunion, Saint Pierre and Miquelon, Saint Barthélemy, Saint Martin (French part), Wallis and Futuna Islands.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",116.9
254,French Guiana,2020,Population density,3.5,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",3.5
258,French Polynesia,2020,Population density,82.0,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",82.0
266,Gabon,2020,Population density,8.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",8.9
270,Gambia,2020,Population density,254.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",254.3
268,Georgia,2020,Population density,54.2,Including Abkhazia and South Ossetia.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",54.2
276,Germany,2020,Population density,239.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",239.1
288,Ghana,2020,Population density,141.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",141.4
292,Gibraltar,2020,Population density,"3,270.9","For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",3270.9
300,Greece,2020,Population density,80.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",80.4
304,Greenland,2020,Population density,0.1,"For statistical purposes, the data for Denmark do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.1
308,Grenada,2020,Population density,363.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",363.7
312,Guadeloupe,2020,Population density,243.0,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",243.0
316,Guam,2020,Population density,312.8,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",312.8
320,Guatemala,2020,Population density,162.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",162.0
324,Guinea,2020,Population density,53.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",53.7
624,Guinea-Bissau,2020,Population density,71.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",71.7
328,Guyana,2020,Population density,4.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",4.1
332,Haiti,2020,Population density,410.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",410.1
336,Holy See,2020,Population density,"1,181.8",Data refer to the Vatican City State.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1181.8
340,Honduras,2020,Population density,92.8,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",92.8
348,Hungary,2020,Population density,107.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",107.7
352,Iceland,2020,Population density,3.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",3.7
356,India,2020,Population density,469.7,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",469.7
360,Indonesia,2020,Population density,142.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",142.3
364,Iran (Islamic Republic of),2020,Population density,53.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",53.6
368,Iraq,2020,Population density,98.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",98.0
372,Ireland,2020,Population density,72.3,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",72.3
833,Isle of Man,2020,Population density,146.9,"For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",146.9
376,Israel,2020,Population density,404.6,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",404.6
380,Italy,2020,Population density,201.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",201.0
388,Jamaica,2020,Population density,260.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",260.4
392,Japan,2020,Population density,332.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",332.4
400,Jordan,2020,Population density,123.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",123.1
398,Kazakhstan,2020,Population density,7.0,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",7.0
404,Kenya,2020,Population density,89.5,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",89.5
296,Kiribati,2020,Population density,174.2,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",174.2
