RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
143,Central Asia,2017,Population density,18.1,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",18.1
34,Southern Asia,2017,Population density,297.4,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",297.4
728,South Sudan,2017,Population density,18.9,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",18.9
