RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
143,Central Asia,2017,Population mid-year estimates (millions),71.28,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",71.28
34,Southern Asia,2017,Population mid-year estimates (millions),"1,903.44",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1903.44
728,South Sudan,2017,Population mid-year estimates (millions),10.66,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",10.66
