RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
1,"Total, all countries or areas",2020,Population mid-year estimates (millions),"7,840.95",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",7840.95
2,Africa,2020,Population mid-year estimates (millions),"1,360.68",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1360.68
15,Northern Africa,2020,Population mid-year estimates (millions),251.42,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",251.42
202,Sub-Saharan Africa,2020,Population mid-year estimates (millions),"1,109.26",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1109.26
14,Eastern Africa,2020,Population mid-year estimates (millions),449.29,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",449.29
17,Middle Africa,2020,Population mid-year estimates (millions),184.57,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",184.57
18,Southern Africa,2020,Population mid-year estimates (millions),67.27,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",67.27
11,Western Africa,2020,Population mid-year estimates (millions),408.12,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",408.12
19,Americas,2020,Population mid-year estimates (millions),"1,025.79",Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1025.79
21,Northern America,2020,Population mid-year estimates (millions),373.96,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",373.96
419,Latin America & the Caribbean,2020,Population mid-year estimates (millions),651.84,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",651.84
29,Caribbean,2020,Population mid-year estimates (millions),43.96,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",43.96
13,Central America,2020,Population mid-year estimates (millions),176.34,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",176.34
5,South America,2020,Population mid-year estimates (millions),431.53,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",431.53
142,Asia,2020,Population mid-year estimates (millions),"4,664.32",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",4664.32
30,Eastern Asia,2020,Population mid-year estimates (millions),"1,663.18",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1663.18
62,South-central Asia,2020,Population mid-year estimates (millions),"2,044.34",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",2044.34
35,South-eastern Asia,2020,Population mid-year estimates (millions),670.16,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",670.16
145,Western Asia,2020,Population mid-year estimates (millions),286.64,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",286.64
150,Europe,2020,Population mid-year estimates (millions),746.23,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",746.23
151,Eastern Europe,2020,Population mid-year estimates (millions),292.83,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",292.83
154,Northern Europe,2020,Population mid-year estimates (millions),105.83,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",105.83
39,Southern Europe,2020,Population mid-year estimates (millions),152.50,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",152.5
155,Western Europe,2020,Population mid-year estimates (millions),195.06,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",195.06
9,Oceania,2020,Population mid-year estimates (millions),43.93,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",43.93
53,Australia and New Zealand,2020,Population mid-year estimates (millions),30.73,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",30.73
