RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
616,Poland,2010,Population mid-year estimates (millions),38.60,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",38.6
620,Portugal,2010,Population mid-year estimates (millions),10.59,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",10.59
630,Puerto Rico,2010,Population mid-year estimates (millions),3.72,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",3.72
634,Qatar,2010,Population mid-year estimates (millions),1.71,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1.71
410,Republic of Korea,2010,Population mid-year estimates (millions),48.81,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",48.81
498,Republic of Moldova,2010,Population mid-year estimates (millions),3.68,Including the Transnistria region.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",3.68
638,Réunion,2010,Population mid-year estimates (millions),0.89,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.89
642,Romania,2010,Population mid-year estimates (millions),20.34,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",20.34
643,Russian Federation,2010,Population mid-year estimates (millions),143.24,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",143.24
646,Rwanda,2010,Population mid-year estimates (millions),10.31,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",10.31
652,Saint Barthélemy,2010,Population mid-year estimates (millions),0.01,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.01
654,Saint Helena,2010,Population mid-year estimates (millions),0.01,"Including Ascension and Tristan da Cunha. For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.01
659,Saint Kitts and Nevis,2010,Population mid-year estimates (millions),0.05,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.05
662,Saint Lucia,2010,Population mid-year estimates (millions),0.17,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.17
663,Saint Martin (French part),2010,Population mid-year estimates (millions),0.04,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.04
666,Saint Pierre and Miquelon,2010,Population mid-year estimates (millions),0.01,"For statistical purposes, the data for France do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.01
670,Saint Vincent & Grenadines,2010,Population mid-year estimates (millions),0.11,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.11
882,Samoa,2010,Population mid-year estimates (millions),0.19,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.19
674,San Marino,2010,Population mid-year estimates (millions),0.03,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.03
678,Sao Tome and Principe,2010,Population mid-year estimates (millions),0.18,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.18
682,Saudi Arabia,2010,Population mid-year estimates (millions),29.41,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",29.41
686,Senegal,2010,Population mid-year estimates (millions),12.53,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",12.53
688,Serbia,2010,Population mid-year estimates (millions),7.65,Excluding Kosovo.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",7.65
690,Seychelles,2010,Population mid-year estimates (millions),0.09,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.09
694,Sierra Leone,2010,Population mid-year estimates (millions),6.44,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",6.44
702,Singapore,2010,Population mid-year estimates (millions),5.16,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",5.16
534,Sint Maarten (Dutch part),2010,Population mid-year estimates (millions),0.03,"For statistical purposes, the data for Netherlands do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.03
703,Slovakia,2010,Population mid-year estimates (millions),5.40,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",5.4
705,Slovenia,2010,Population mid-year estimates (millions),2.06,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",2.06
90,Solomon Islands,2010,Population mid-year estimates (millions),0.54,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.54
706,Somalia,2010,Population mid-year estimates (millions),12.03,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",12.03
710,South Africa,2010,Population mid-year estimates (millions),51.78,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",51.78
728,South Sudan,2010,Population mid-year estimates (millions),9.71,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",9.71
724,Spain,2010,Population mid-year estimates (millions),46.57,"Including Canary Islands, Ceuta and Melilla.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",46.57
144,Sri Lanka,2010,Population mid-year estimates (millions),20.67,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",20.67
275,State of Palestine,2010,Population mid-year estimates (millions),3.99,Including East Jerusalem.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",3.99
729,Sudan,2010,Population mid-year estimates (millions),33.74,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",33.74
740,Suriname,2010,Population mid-year estimates (millions),0.55,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.55
752,Sweden,2010,Population mid-year estimates (millions),9.38,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",9.38
756,Switzerland,2010,Population mid-year estimates (millions),7.82,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",7.82
760,Syrian Arab Republic,2010,Population mid-year estimates (millions),22.34,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",22.34
762,Tajikistan,2010,Population mid-year estimates (millions),7.62,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",7.62
764,Thailand,2010,Population mid-year estimates (millions),68.27,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",68.27
626,Timor-Leste,2010,Population mid-year estimates (millions),1.09,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1.09
768,Togo,2010,Population mid-year estimates (millions),6.57,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",6.57
