RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
1,"Total, all countries or areas",2022,Population mid-year estimates (millions),"7,975.11",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",7975.11
2,Africa,2022,Population mid-year estimates (millions),"1,426.74",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1426.74
15,Northern Africa,2022,Population mid-year estimates (millions),259.97,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",259.97
202,Sub-Saharan Africa,2022,Population mid-year estimates (millions),"1,166.77",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1166.77
14,Eastern Africa,2022,Population mid-year estimates (millions),473.00,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",473.0
17,Middle Africa,2022,Population mid-year estimates (millions),196.08,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",196.08
18,Southern Africa,2022,Population mid-year estimates (millions),68.60,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",68.6
11,Western Africa,2022,Population mid-year estimates (millions),429.08,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",429.08
19,Americas,2022,Population mid-year estimates (millions),"1,037.14",Calculated by the UN Statistics Division.;Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1037.14
21,Northern America,2022,Population mid-year estimates (millions),376.87,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",376.87
419,Latin America & the Caribbean,2022,Population mid-year estimates (millions),660.27,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",660.27
29,Caribbean,2022,Population mid-year estimates (millions),44.39,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",44.39
13,Central America,2022,Population mid-year estimates (millions),179.06,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",179.06
5,South America,2022,Population mid-year estimates (millions),436.82,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",436.82
