RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
1,"Total, all countries or areas",2022,Population mid-year estimates for females (millions),"3,966.53",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",3966.53
2,Africa,2022,Population mid-year estimates for females (millions),714.31,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",714.31
15,Northern Africa,2022,Population mid-year estimates for females (millions),128.85,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",128.85
202,Sub-Saharan Africa,2022,Population mid-year estimates for females (millions),585.46,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",585.46
14,Eastern Africa,2022,Population mid-year estimates for females (millions),238.47,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",238.47
17,Middle Africa,2022,Population mid-year estimates for females (millions),98.57,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",98.57
18,Southern Africa,2022,Population mid-year estimates for females (millions),35.16,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",35.16
11,Western Africa,2022,Population mid-year estimates for females (millions),213.26,Projected estimate (medium fertility variant).;Including Saint Helena.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",213.26
19,Americas,2022,Population mid-year estimates for females (millions),525.34,Calculated by the UN Statistics Division.;Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",525.34
21,Northern America,2022,Population mid-year estimates for females (millions),190.20,"Projected estimate (medium fertility variant).;Including Bermuda, Greenland, and Saint Pierre and Miquelon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",190.2
419,Latin America & the Caribbean,2022,Population mid-year estimates for females (millions),335.14,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",335.14
29,Caribbean,2022,Population mid-year estimates for females (millions),22.45,"Projected estimate (medium fertility variant).;Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",22.45
13,Central America,2022,Population mid-year estimates for females (millions),91.33,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",91.33
5,South America,2022,Population mid-year estimates for females (millions),221.37,Projected estimate (medium fertility variant).;Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",221.37
142,Asia,2022,Population mid-year estimates for females (millions),"2,319.78",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",2319.78
143,Central Asia,2022,Population mid-year estimates for females (millions),38.93,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",38.93
30,Eastern Asia,2022,Population mid-year estimates for females (millions),819.26,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",819.26
62,South-central Asia,2022,Population mid-year estimates for females (millions),"1,020.12",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1020.12
35,South-eastern Asia,2022,Population mid-year estimates for females (millions),340.00,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",340.0
34,Southern Asia,2022,Population mid-year estimates for females (millions),981.19,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",981.19
145,Western Asia,2022,Population mid-year estimates for females (millions),140.41,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",140.41
150,Europe,2022,Population mid-year estimates for females (millions),384.65,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",384.65
151,Eastern Europe,2022,Population mid-year estimates for females (millions),153.43,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",153.43
154,Northern Europe,2022,Population mid-year estimates for females (millions),53.85,Projected estimate (medium fertility variant).;Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",53.85
39,Southern Europe,2022,Population mid-year estimates for females (millions),77.71,"Projected estimate (medium fertility variant).;Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",77.71
155,Western Europe,2022,Population mid-year estimates for females (millions),99.66,Projected estimate (medium fertility variant).;Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",99.66
9,Oceania,2022,Population mid-year estimates for females (millions),22.46,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",22.46
53,Australia and New Zealand,2022,Population mid-year estimates for females (millions),15.79,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",15.79
54,Melanesia,2022,Population mid-year estimates for females (millions),6.04,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",6.04
57,Micronesia,2022,Population mid-year estimates for females (millions),0.27,"Projected estimate (medium fertility variant).;Including Marshall Islands, Nauru, Northern Mariana Islands and Palau.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.27
61,Polynesia,2022,Population mid-year estimates for females (millions),0.36,Projected estimate (medium fertility variant).;Including Pitcairn.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.36
4,Afghanistan,2022,Population mid-year estimates for females (millions),20.36,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",20.36
8,Albania,2022,Population mid-year estimates for females (millions),1.42,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1.42
12,Algeria,2022,Population mid-year estimates for females (millions),22.04,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",22.04
16,American Samoa,2022,Population mid-year estimates for females (millions),0.02,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.02
20,Andorra,2022,Population mid-year estimates for females (millions),0.04,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.04
24,Angola,2022,Population mid-year estimates for females (millions),18.00,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",18.0
660,Anguilla,2022,Population mid-year estimates for females (millions),0.01,"Projected estimate (medium fertility variant).;For statistical purposes, the data for United Kingdom do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.01
28,Antigua and Barbuda,2022,Population mid-year estimates for females (millions),0.05,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.05
32,Argentina,2022,Population mid-year estimates for females (millions),22.98,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",22.98
