RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
143,Central Asia,2017,Population mid-year estimates for females (millions),36.07,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",36.07
34,Southern Asia,2017,Population mid-year estimates for females (millions),928.14,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",928.14
728,South Sudan,2017,Population mid-year estimates for females (millions),5.39,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",5.39
