RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
1,"Total, all countries or areas",2015,Surface area (thousand km2),"136,162",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",136162.0
2,Africa,2015,Surface area (thousand km2),"30,311",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",30311.0
15,Northern Africa,2015,Surface area (thousand km2),"7,880",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",7880.0
202,Sub-Saharan Africa,2015,Surface area (thousand km2),"22,431",Calculated by the UN Statistics Division.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",22431.0
14,Eastern Africa,2015,Surface area (thousand km2),"7,005",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",7005.0
17,Middle Africa,2015,Surface area (thousand km2),"6,613",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",6613.0
18,Southern Africa,2015,Surface area (thousand km2),"2,675",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",2675.0
11,Western Africa,2015,Surface area (thousand km2),"6,138",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",6138.0
19,Americas,2015,Surface area (thousand km2),"42,322",Calculated by the UN Statistics Division.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",42322.0
21,Northern America,2015,Surface area (thousand km2),"21,776",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",21776.0
419,Latin America & the Caribbean,2015,Surface area (thousand km2),"20,546",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",20546.0
29,Caribbean,2015,Surface area (thousand km2),234,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",234.0
13,Central America,2015,Surface area (thousand km2),"2,480",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",2480.0
5,South America,2015,Surface area (thousand km2),"17,832",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",17832.0
142,Asia,2015,Surface area (thousand km2),"31,915",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",31915.0
143,Central Asia,2015,Surface area (thousand km2),"4,103",Calculated by the UN Statistics Division.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",4103.0
30,Eastern Asia,2015,Surface area (thousand km2),"11,799",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",11799.0
62,South-central Asia,2015,Surface area (thousand km2),"10,791",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",10791.0
35,South-eastern Asia,2015,Surface area (thousand km2),"4,495",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",4495.0
34,Southern Asia,2015,Surface area (thousand km2),"6,688",Calculated by the UN Statistics Division.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",6688.0
145,Western Asia,2015,Surface area (thousand km2),"4,831",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",4831.0
150,Europe,2015,Surface area (thousand km2),"23,049",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",23049.0
151,Eastern Europe,2015,Surface area (thousand km2),"18,814",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",18814.0
154,Northern Europe,2015,Surface area (thousand km2),"1,810",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",1810.0
39,Southern Europe,2015,Surface area (thousand km2),"1,317",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",1317.0
155,Western Europe,2015,Surface area (thousand km2),"1,108",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",1108.0
9,Oceania,2015,Surface area (thousand km2),"8,564",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",8564.0
53,Australia and New Zealand,2015,Surface area (thousand km2),"8,012",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",8012.0
54,Melanesia,2015,Surface area (thousand km2),541,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",541.0
57,Micronesia,2015,Surface area (thousand km2),3,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",3.0
61,Polynesia,2015,Surface area (thousand km2),8,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",8.0
4,Afghanistan,2015,Surface area (thousand km2),653,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",653.0
8,Albania,2015,Surface area (thousand km2),29,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",29.0
12,Algeria,2015,Surface area (thousand km2),"2,382",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",2382.0
16,American Samoa,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",0.0
20,Andorra,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",0.0
24,Angola,2015,Surface area (thousand km2),"1,247",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",1247.0
660,Anguilla,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",0.0
28,Antigua and Barbuda,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",0.0
32,Argentina,2015,Surface area (thousand km2),"2,780",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",2780.0
51,Armenia,2015,Surface area (thousand km2),30,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",30.0
533,Aruba,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",0.0
36,Australia,2015,Surface area (thousand km2),"7,692",Including Norfolk Island.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",7692.0
40,Austria,2015,Surface area (thousand km2),84,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",84.0
31,Azerbaijan,2015,Surface area (thousand km2),87,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",87.0
44,Bahamas,2015,Surface area (thousand km2),14,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",14.0
48,Bahrain,2015,Surface area (thousand km2),1,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",1.0
50,Bangladesh,2015,Surface area (thousand km2),148,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",148.0
52,Barbados,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",0.0
112,Belarus,2015,Surface area (thousand km2),208,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",208.0
56,Belgium,2015,Surface area (thousand km2),31,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",31.0
84,Belize,2015,Surface area (thousand km2),23,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",23.0
204,Benin,2015,Surface area (thousand km2),115,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",115.0
60,Bermuda,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",0.0
64,Bhutan,2015,Surface area (thousand km2),38,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",38.0
68,Bolivia (Plurin. State of),2015,Surface area (thousand km2),"1,099","Data updated according to ""Superintendencia Agraria"". Interior waters correspond to natural or artificial bodies of water or snow.","United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",1099.0
70,Bosnia and Herzegovina,2015,Surface area (thousand km2),51,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",51.0
72,Botswana,2015,Surface area (thousand km2),582,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",582.0
76,Brazil,2015,Surface area (thousand km2),"8,516",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",8516.0
92,British Virgin Islands,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",0.0
96,Brunei Darussalam,2015,Surface area (thousand km2),6,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",6.0
100,Bulgaria,2015,Surface area (thousand km2),111,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",111.0
854,Burkina Faso,2015,Surface area (thousand km2),273,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",273.0
108,Burundi,2015,Surface area (thousand km2),28,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",28.0
132,Cabo Verde,2015,Surface area (thousand km2),4,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",4.0
116,Cambodia,2015,Surface area (thousand km2),181,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",181.0
120,Cameroon,2015,Surface area (thousand km2),476,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",476.0
124,Canada,2015,Surface area (thousand km2),"9,985",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",9985.0
136,Cayman Islands,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",0.0
140,Central African Republic,2015,Surface area (thousand km2),623,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",623.0
148,Chad,2015,Surface area (thousand km2),"1,284",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",1284.0
830,Channel Islands,2015,Surface area (thousand km2),0,Refers to Guernsey and Jersey.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",0.0
152,Chile,2015,Surface area (thousand km2),756,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",756.0
156,China,2015,Surface area (thousand km2),"9,600",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",9600.0
344,"China, Hong Kong SAR",2015,Surface area (thousand km2),1,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",1.0
446,"China, Macao SAR",2015,Surface area (thousand km2),0,Inland waters include the reservoirs.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",0.0
170,Colombia,2015,Surface area (thousand km2),"1,142",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",1142.0
174,Comoros,2015,Surface area (thousand km2),2,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",2.0
178,Congo,2015,Surface area (thousand km2),342,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",342.0
184,Cook Islands,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",0.0
188,Costa Rica,2015,Surface area (thousand km2),51,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",51.0
384,Côte d’Ivoire,2015,Surface area (thousand km2),322,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",322.0
191,Croatia,2015,Surface area (thousand km2),57,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",57.0
192,Cuba,2015,Surface area (thousand km2),110,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",110.0
531,Curaçao,2015,Surface area (thousand km2),0,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",0.0
196,Cyprus,2015,Surface area (thousand km2),9,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",9.0
203,Czechia,2015,Surface area (thousand km2),79,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",79.0
408,Dem. People's Rep. Korea,2015,Surface area (thousand km2),121,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",121.0
180,Dem. Rep. of the Congo,2015,Surface area (thousand km2),"2,345",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",2345.0
208,Denmark,2015,Surface area (thousand km2),43,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",43.0
262,Djibouti,2015,Surface area (thousand km2),23,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",23.0
212,Dominica,2015,Surface area (thousand km2),1,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",1.0
214,Dominican Republic,2015,Surface area (thousand km2),49,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",49.0
218,Ecuador,2015,Surface area (thousand km2),257,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",257.0
818,Egypt,2015,Surface area (thousand km2),"1,002",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022.",1002.0
