RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
1,"Total, all countries or areas",2010,Population mid-year estimates for males (millions),"3,514.41",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",3514.41
2,Africa,2010,Population mid-year estimates for males (millions),525.87,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",525.87
15,Northern Africa,2010,Population mid-year estimates for males (millions),104.59,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",104.59
202,Sub-Saharan Africa,2010,Population mid-year estimates for males (millions),421.27,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",421.27
14,Eastern Africa,2010,Population mid-year estimates for males (millions),169.60,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",169.6
17,Middle Africa,2010,Population mid-year estimates for males (millions),66.32,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",66.32
18,Southern Africa,2010,Population mid-year estimates for males (millions),28.50,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",28.5
11,Western Africa,2010,Population mid-year estimates for males (millions),156.86,Including Saint Helena.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",156.86
19,Americas,2010,Population mid-year estimates for males (millions),461.93,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",461.93
21,Northern America,2010,Population mid-year estimates for males (millions),170.17,"Including Bermuda, Greenland, and Saint Pierre and Miquelon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",170.17
419,Latin America & the Caribbean,2010,Population mid-year estimates for males (millions),291.77,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",291.77
29,Caribbean,2010,Population mid-year estimates for males (millions),20.57,"Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",20.57
13,Central America,2010,Population mid-year estimates for males (millions),76.68,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",76.68
5,South America,2010,Population mid-year estimates for males (millions),194.52,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",194.52
142,Asia,2010,Population mid-year estimates for males (millions),"2,153.89",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",2153.89
143,Central Asia,2010,Population mid-year estimates for males (millions),31.30,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",31.3
30,Eastern Asia,2010,Population mid-year estimates for males (millions),805.43,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",805.43
62,South-central Asia,2010,Population mid-year estimates for males (millions),923.50,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",923.5
35,South-eastern Asia,2010,Population mid-year estimates for males (millions),300.46,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",300.46
34,Southern Asia,2010,Population mid-year estimates for males (millions),892.20,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",892.2
145,Western Asia,2010,Population mid-year estimates for males (millions),124.50,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",124.5
150,Europe,2010,Population mid-year estimates for males (millions),354.08,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",354.08
151,Eastern Europe,2010,Population mid-year estimates for males (millions),138.27,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",138.27
154,Northern Europe,2010,Population mid-year estimates for males (millions),48.87,Projected estimate (medium fertility variant).;Including the Faroe Islands and the Isle of Man.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",48.87
39,Southern Europe,2010,Population mid-year estimates for males (millions),75.12,"Including Andorra, Gibraltar, Holy See, and San Marino.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",75.12
155,Western Europe,2010,Population mid-year estimates for males (millions),91.81,Including Liechtenstein and Monaco.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",91.81
9,Oceania,2010,Population mid-year estimates for males (millions),18.64,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",18.64
53,Australia and New Zealand,2010,Population mid-year estimates for males (millions),13.09,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",13.09
54,Melanesia,2010,Population mid-year estimates for males (millions),4.94,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",4.94
57,Micronesia,2010,Population mid-year estimates for males (millions),0.26,"Including Marshall Islands, Nauru, Northern Mariana Islands and Palau.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.26
61,Polynesia,2010,Population mid-year estimates for males (millions),0.35,Including Pitcairn.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.35
4,Afghanistan,2010,Population mid-year estimates for males (millions),14.24,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",14.24
8,Albania,2010,Population mid-year estimates for males (millions),1.46,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",1.46
12,Algeria,2010,Population mid-year estimates for males (millions),18.28,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",18.28
16,American Samoa,2010,Population mid-year estimates for males (millions),0.03,"For statistical purposes, the data for United States of America do not include this area.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",0.03
