RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
143,Central Asia,2017,Population mid-year estimates for males (millions),35.20,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",35.2
34,Southern Asia,2017,Population mid-year estimates for males (millions),975.30,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",975.3
728,South Sudan,2017,Population mid-year estimates for males (millions),5.27,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",5.27
