RegionCode,Area,Year,Series,ValueString,Footnotes,Source,value
1,"Total, all countries or areas",2015,Population mid-year estimates for males (millions),"3,737.40",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",3737.4
2,Africa,2015,Population mid-year estimates for males (millions),599.30,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",599.3
15,Northern Africa,2015,Population mid-year estimates for males (millions),115.31,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",115.31
202,Sub-Saharan Africa,2015,Population mid-year estimates for males (millions),483.99,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",483.99
14,Eastern Africa,2015,Population mid-year estimates for males (millions),194.84,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",194.84
17,Middle Africa,2015,Population mid-year estimates for males (millions),78.22,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",78.22
18,Southern Africa,2015,Population mid-year estimates for males (millions),30.99,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",30.99
11,Western Africa,2015,Population mid-year estimates for males (millions),179.94,Including Saint Helena.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",179.94
19,Americas,2015,Population mid-year estimates for males (millions),485.81,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",485.81
21,Northern America,2015,Population mid-year estimates for males (millions),178.29,"Including Bermuda, Greenland, and Saint Pierre and Miquelon.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",178.29
419,Latin America & the Caribbean,2015,Population mid-year estimates for males (millions),307.53,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",307.53
29,Caribbean,2015,Population mid-year estimates for males (millions),21.21,"Including Anguilla, Bonaire, Sint Eustatius and Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands.","United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",21.21
13,Central America,2015,Population mid-year estimates for males (millions),82.15,,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",82.15
5,South America,2015,Population mid-year estimates for males (millions),204.17,Including Falkland Islands (Malvinas).,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",204.17
142,Asia,2015,Population mid-year estimates for males (millions),"2,274.43",,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022.",2274.43
